,carat,cut,color,clarity,depth,table,price,x,y,z,size_class
89,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,5.6842833770584935
90,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,6.862901140535419
91,0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,7.167080089052081
92,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,6.821665576502488
93,0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,6.856303309903811
94,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,6.982277409659153
95,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,6.86617482567798
96,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,6.805094303618683
97,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,7.2463839059394175
98,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,6.891518052788385
99,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,7.017606684770677
100,0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,6.927511320289877
101,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,7.000234418898125
102,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,6.928473368984578
103,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,6.9259838169588805
104,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,7.0191260556946755
105,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,6.949382951796563
106,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,6.982873934389954
107,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,6.919108319613008
108,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,7.07740794219441
109,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,6.612719466381947
110,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,7.036054894477081
111,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,6.938010966653983
112,0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,7.188795570207789
113,0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,6.903538136164066
114,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,6.897618962326671
115,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,6.915604553605704
116,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,7.03031418173171
117,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,6.882043546160784
118,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,6.847830987084696
119,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,7.045051204725898
120,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,6.858841032705711
121,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,6.935538480974462
122,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,6.778631596261674
123,0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,6.784916395514822
124,0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,6.8452436928692855
125,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,6.771871188458291
126,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,7.071698430363275
127,0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,6.686533246575445
128,0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,7.192143920659494
129,0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,7.156566658429162
130,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,6.973106749127231
131,0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,6.849582998908976
132,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,6.844111983031977
133,0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,6.808489181470483
134,0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,6.968529946648565
135,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,6.689904629873322
136,0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,6.840394093633721
137,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,6.846631975010493
138,0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,6.970973122576893
139,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,6.7205729398068526
140,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,6.866102479312803
141,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,6.904160719743144
142,0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,6.837481505596195
143,0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,6.896768325633142
144,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,6.870868908876823
145,0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,6.796175920031631
146,0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,6.768244466700085
147,0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,6.9124318156236715
148,0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,6.818424498113342
149,0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,6.851958872707372
150,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,6.8283105112854585
151,0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,6.927843892035457
152,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,6.801827067224466
153,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,6.901441936285033
154,0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,6.939997975836971
155,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,6.930555073460207
156,0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,6.876095249640803
157,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,6.922198681086207
158,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,6.884944328888844
159,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,6.947614170218234
160,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,6.92218471562448
161,0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,6.893505077585411
162,0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,6.914542088837603
163,0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,6.878983699044611
164,0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,7.023033873626594
165,0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,6.925512877789781
166,0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,7.055303056130309
167,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,6.609414101749933
168,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,6.56152364566623
169,0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,6.8826410931638495
170,0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,6.954701165306728
171,0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,6.8414532425687415
172,1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,7.604623722050893
173,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,6.623396341098116
174,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,6.866901254120452
175,0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,7.026450628154048
176,0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,6.917945343599877
177,0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,6.850997620090505
178,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,6.866901254120452
179,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,6.851952503278033
180,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,6.48611419775115
181,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,6.4761637761995035
182,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,6.867396127677997
183,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,6.894250684844526
184,0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,6.876956932149039
185,0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,6.869476633965402
186,0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,6.855261266293713
187,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,6.8339788379413395
188,0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,6.836001056347599
189,0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,6.8276797775064635
190,0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,6.879610204172783
191,0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,6.8339788379413395
192,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,6.804121571015723
193,0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,6.847897342133525
194,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,6.827653105147065
195,0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,6.820233017781281
196,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,6.823513374786141
197,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,6.858555670259455
198,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,6.852606159807539
199,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,6.88638713991335
200,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,6.815239307343055
201,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,6.822608711753003
202,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,6.848709361845724
203,0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,6.826540352247484
204,0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,7.203235226074083
205,0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,6.939518331887007
206,0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,6.75895017649651
207,0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,6.433340769368461
208,0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,6.9148065468561715
209,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,6.9260051133938285
210,0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,6.826211225851425
211,0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,6.984736756554239
212,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,6.845655437041895
213,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,6.933422672325654
214,0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,6.8174573380411765
215,1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,7.323038326363552
216,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,6.963250488911383
217,0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,7.012091629292257
218,0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,6.881035725623195
219,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,6.464692181043693
220,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,6.9911474337215465
221,0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,6.793940699533055
222,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,6.771927137250501
223,0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,6.909574179929161
224,0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,6.856985689782205
225,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,6.866923379003569
226,0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,6.838570223978788
227,0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,7.103019809475319
228,0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,6.952249686312632
229,0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,6.4172937546785604
230,0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,6.874960698068987
231,0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,7.020924396158786
232,0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,6.861229542701461
233,0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,6.386922488968383
234,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,6.712145486986655
235,0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,6.848709361845724
236,0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,7.105808380489788
237,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,6.95778682533985
238,0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,6.841545679843558
239,0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,6.962996290840761
240,0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,6.839560637733263
241,1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,7.298433124303564
242,1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,7.269083898047584
243,0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,6.962412103833868
244,0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,6.962030707105217
245,0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,6.976019694369798
246,0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,6.943918654893529
247,1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,7.41961848192733
248,0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,7.048716738712213
249,0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,6.859245286557133
250,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,6.4935909775994585
251,0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,7.016957384464074
252,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,6.6468277337453525
253,0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,6.689904629873322
254,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,6.968529946648565
255,1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,7.392292742177489
256,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,6.719922837578374
257,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,6.966896462277033
258,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,7.0974312912751225
259,0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,6.840394093633721
260,0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,6.846631975010493
261,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,7.162839325526167
262,0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,6.892079817116449
263,0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,6.885168585935295
264,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,6.858273235642665
265,0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,6.860161894736995
266,0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,6.831409796612399
267,0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,6.861986370840571
268,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,6.925529825580167
269,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,6.852245093329457
270,0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,7.047359742114261
271,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,6.84515477984339
272,0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,6.838227717339845
273,0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,6.968517470850582
274,0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,6.890080865226202
275,0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,7.009361416383638
276,0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,6.899225500259819
277,0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,6.9779972454743024
278,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,7.036212127874969
279,0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,6.836153189978631
280,0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,6.85071315182231
281,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,6.874973972835994
282,0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,7.077081637545125
283,0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58,6.856745593999538
284,1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,7.3734895705332875
285,0.73,Good,E,SI1,63.2,58.0,2796,5.7,5.76,3.62,6.893020428253448
286,0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,7.02967157047182
287,0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67,7.086285822224969
288,0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,6.8527635550099975
289,0.71,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52,6.8576725239017655
290,0.71,Premium,D,SI1,61.6,60.0,2797,5.74,5.69,3.52,6.845054818295393
291,0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31,6.563209850459107
292,0.51,Ideal,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17,6.3879977162384876
